PANEL XENIUM (INMUNO),,,,,ADD-ON GENES,,,
Gene,Ensemble ID,Annotation,,,Gene,Ensembl ID,Tissues,Cell types
PRF1,ENSG00000180644,T cell;EMRA,,,,,,
PSMB10,ENSG00000205220,,,,,,,
PTEN,ENSG00000171862,,,,,,,
PTGS1,ENSG00000095303,Mast Cell,,,,,,
PTPRC,ENSG00000081237,,,,,,,
RB1,ENSG00000139687,,,,,,,
REG4,ENSG00000134193,Intestinal Cell;Lineage Marker,,,,,,
RGS1,ENSG00000090104,,,,,,,
RGS5,ENSG00000143248,Pericyte,,,,,,
RNF43,ENSG00000108375,Tumor,,,,,,
RORC,ENSG00000143365,,,,,,,
RUNX3,ENSG00000020633,Natural Killer Cell,,,,,,
S100A9,ENSG00000163220,Neutrophils,,,,,,
S100B,ENSG00000160307,Dendritic Cell;Myeloid,,,,,,
SAMD3,ENSG00000164483,Natural Killer Cell,,,,,,
SDC1,ENSG00000115884,Plasma Cell,,,,,,
SELL,ENSG00000188404,B Cell,,,,,,
SLC1A3,ENSG00000079215,Dendritic Cell,,,,,,
SMAD3,ENSG00000166949,Natural Killer Cell,,,,,,
SOCS1,ENSG00000185338,Cytokine Signalling,,,,,,
SOCS2,ENSG00000120833,Cytokine Signalling,,,,,,
SOCS3,ENSG00000184557,Cytokine Signalling,,,,,,
SOS1,ENSG00000115904,,,,,,,
SOX17,ENSG00000164736,,,,,,,
SOX9,ENSG00000125398,Tumor,,,,,,
SPARC,ENSG00000113140,,,,,,,
SPARCL1,ENSG00000152583,,,,,,,
SPIB,ENSG00000269404,Dendritic Cell;Plasmacytoid,,,,,,
SPON2,ENSG00000159674,,,,,,,
SSR4,ENSG00000180879,Plasma Cell,,,,,,
STAT1,ENSG00000115415,Immune Signalling;Macrophage;Th1;T Cell,,,,,,
STAT2,ENSG00000170581,Immune Signalling,,,,,,
STAT3,ENSG00000168610,Plasma Cell;T Cell;Regulatory;Th17,,,,,,
STAT4,ENSG00000138378,T Cell;Natural Killer Cell,,,,,,
STAT5B,ENSG00000173757,Immune Signalling;T Cell,,,,,,
STAT6,ENSG00000166888,Immune Signalling;T Cell,,,,,,
STMN1,ENSG00000117632,B Cell;Proliferation,,,,,,
SYK,ENSG00000165025,Dendritic Cell;Plasmacytoid,,,,,,
TBX21,ENSG00000073861,T Cell;Th1,,,,,,
